attempt_id,conjecture_id,response_id,status,resolution_bucket,arxiv_id,title,authors_affiliations,conjecture_summary,verdict,literature_overlap,well_specifiedness,viability_score,interestingness_score,completed_at,abs_url,pdf_url
15,504,resp_07dc40791395d23f0069ae215200f08191b49a47eddd0b299d,completed,unresolved,2602.09352v1,Quadratic irrational analogues of Ramanujan's series for $1/π$,"John M. Campbell (Department of Mathematics and Statistics, Dalhousie University); Shaun Cooper (School of Mathematical and Computational Sciences, Massey University); Dongxi Ye (School of AI and Liberal Arts, Beijing Normal-Hong Kong Baptist University)","Draft cross-level relation claiming that the series with N in {8,12,16,28} are related to the series with N in {2,3,4,7}.","Unresolved. The paper clearly handles the N=12 and N=28 subcases, but the full four-case statement remains too vague and the N=8 and N=16 cases are not proved there.","Category (b): nearby transformation theory is already in the paper and earlier literature, but not the full exact four-case draft statement.","Poorly specified: “related” is undefined, the source comes from an old draft section, and the table references do not cleanly match the final PDF numbering.",0.7,0.34,2026-03-09T01:33:38Z,http://arxiv.org/abs/2602.09352v1,https://arxiv.org/pdf/2602.09352v1
16,367,resp_0a65124a69c175740069ae31815f948194ad8d155c27c4cd69,completed,disconfirmed,2602.13960v1,Steady-State Behavior of Constant-Stepsize Stochastic Approximation: Gaussian Approximation and Tail Bounds,Zedong Wang; Yuyang Wang; Ijay Narang; Felix Wang; Yuzhou Wang; Siva Theja Maguluri,Uniform stationary-law existence and uniform 3h-moment bound for one-dimensional constant-stepsize SGD under Assumptions A5-A6.,"Disconfirmed. For h=2 with quadratic f and heavy-tailed centered noise having finite third but infinite sixth moment, the stationary AR(1) law exists but has infinite sixth moment.","Category (b): close constant-stepsize SGD stability theory exists under stronger dissipativity and higher-moment assumptions, but not the exact claim.","Not fully well specified: the centering and absolute-moment assumptions are unclear, and the stated hypotheses are too weak even in the quadratic test case.",0.75,0.55,2026-03-09T02:44:09Z,http://arxiv.org/abs/2602.13960v1,https://arxiv.org/pdf/2602.13960v1
17,34,resp_0756fc0ed7e5b3850069ae3183de688192a0d8926069e88923,completed,unresolved,2603.01191v1,Beyond singular value gaps in randomized subspace approximation,Christopher Wang; Alex Townsend,"Improved randomized range-finder tail bound replacing the weaker constant by C_{N,k,p,δ} for general oversampling p.","Unresolved. The solver reduced special cases and recovered the proved p=0,1 and flat-spectrum regimes, but did not prove or refute the full p>1 statement.","Category (b): very close gap-based and asymptotic canonical-angle bounds are known, and the same paper already proves nearby weaker and special-case variants.","Reasonably well specified in-paper but not self-contained without importing Theorem 3.1, the Frobenius singular value ratio ξ_k, and the constant C_{N,k,p,δ}.",0.7,0.55,2026-03-09T02:46:18Z,http://arxiv.org/abs/2603.01191v1,https://arxiv.org/pdf/2603.01191v1
18,757,resp_06b84da7bb49610c0069ae318615a4819eb2d4f2be3b10c53d,completed,partial,2603.04218v1,Arrow pattern avoidance in permutations: structure and enumeration,Kassie Archer; Robert P. Laudone,"Three explicit arrow-pattern enumeration formulas: 2^n-n, odd Fibonacci, and Motzkin.","Partially confirmed. The solver proved the odd-Fibonacci and Motzkin formulas, but did not settle the claimed 2^n-n formula.",Category (b): the proven parts translate to standard noncrossing/nonnesting partition and Motzkin-path enumerations; the exact arrow phrasing appears newer.,Well specified in-paper once arrow-pattern avoidance and the fundamental bijection are imported.,0.7,0.4,2026-03-09T02:56:54Z,http://arxiv.org/abs/2603.04218v1,https://arxiv.org/pdf/2603.04218v1
19,670,resp_0d7f6a13f59f574a0069ae3187daec8191bc48f08b6811a88b,completed,formalization failure,2602.04558v1,On cyclically covering subspaces of $\mathbb{F}^n_q$,Yangcheng Li; Pingzhi Yuan; Shuang Li; Yuanpeng Zeng,"Direct-sum max formula h_q(n)=max(h_σ(W_1),h_σ(W_2)) for σ-invariant summands of F_{q^n}.",Disconfirmed as written. Taking σ=id gives h_σ(...)=0 while h_2(3)=1; the likely intended Frobenius/shift version remains unsettled.,Category (a) for the literal statement: the counterexample is immediate from the paper's own definitions. The repaired Frobenius-only version is closer to category (b).,"Poorly specified: σ is only assumed to satisfy σ^n=id, which admits trivial operators not matching the earlier Frobenius identification.",0.75,0.38,2026-03-09T02:46:25Z,http://arxiv.org/abs/2602.04558v1,https://arxiv.org/pdf/2602.04558v1
20,711,resp_051d1f4ea68d07b50069ae3189f66481a38b0e7e5fa3631d92,completed,partial,2602.03337v1,Vigemers: on the number of $k$-mers sharing the same XOR-based minimizer,Florian Ingels; Antoine Limasset; Camille Marchet; Mikaël Salson,"Complexity extension of the minimizer-counting dynamic program from XOR keys to arbitrary coordinatewise maps g_1,...,g_m.","Partially confirmed. The solver proved the claimed complexity for bijective coordinate maps but not for arbitrary noninjective maps, where the published recurrence scheme already breaks.","Category (b): very close lexicographic and XOR-key counting results exist, but not the full arbitrary coordinatewise-function statement.","Not fully well specified: π_k^g(w) is displayed as a set rather than a count, and the paper blurs orders with preorders when the coordinate maps are noninjective.",0.75,0.35,2026-03-09T02:47:47Z,http://arxiv.org/abs/2602.03337v1,https://arxiv.org/pdf/2602.03337v1
21,678,resp_04fa91285ca7ac2d0069ae318c753081a0863221112d7cb385,completed,unresolved,2602.04390v1,Colored interlacing triangles and Genocchi medians,Natasha Blitvic; Leonid Petrov,"Eventual integrality and leading coefficient 5^k for k! a_k(n), where a_k(n) is the q^k coefficient in the depth-2 colored-interlacing-triangle polynomial P_n(q).","Unresolved. The solver showed the integrality clause would follow formally from the preceding eventual-polynomiality conjecture, but did not prove the decisive leading-coefficient claim.","Category (b)/(c): strong nearby Genocchi and Dellac literature exists, but not the exact fixed-k coefficient claim for this q-statistic.",Not fully self-contained; it only makes sense after importing the preceding eventual-polynomiality conjecture.,0.7,0.57,2026-03-09T02:46:38Z,http://arxiv.org/abs/2602.04390v1,https://arxiv.org/pdf/2602.04390v1
22,290,resp_009b84c09f0a9bdf0069ae318e6cfc8190b60a964306250365,completed,confirmed,2602.16761v1,Algebraic representatives of the ratios $ζ(2n+1)/π^{2n}$ and $β(2n)/π^{2n-1}$,Luc Ramsès Talla Waffo,The smallest positive zero β_n of ~Ξ_n should tend to 0.,"Confirmed after obvious typo repairs. The solver derived an exact coefficient-ratio identity giving 1/β_n ≳ -E_{2n+2}/E_{2n}, hence β_n→0.",Category (a): a near-immediate follow-up paper studies the exact ~Ξ_n zero distribution; the proof route here appears different.,"Nearly well specified but contains a typo (Λ_n for Ξ_n) and should restrict to n≥2, since ~Ξ_1 has no positive zero.",0.7,0.38,2026-03-09T02:46:51Z,http://arxiv.org/abs/2602.16761v1,https://arxiv.org/pdf/2602.16761v1
23,241,resp_08b0c12bad2ce7740069ae31903d988192afeca5658f9793bb,completed,unresolved,2602.18427v1,Polytopes of alternating sign matrices with dihedral-subgroup symmetry,Péter Madarasi,Dimension formula dim(P_QTSASM)=floor((n-1)^2/4)-2 for the quarter-turn symmetric ASM polytope.,"Unresolved. The solver proved the conjectured quantity is an upper bound and checked n=5, but did not establish the matching lower bound or a counterexample.","Category (b)/(c): close literature treats the relaxation and enumerates QTSASMs, but not this exact dimension formula.",Well specified in the paper's Section 6; the extracted plain-text snippet is garbled on its own.,0.7,0.55,2026-03-09T02:48:43Z,http://arxiv.org/abs/2602.18427v1,https://arxiv.org/pdf/2602.18427v1
24,456,resp_00bf8daebb8e493c0069ae3191ec50819da6d2ed8691e7c616,completed,partial,2602.10240v1,New Types of Sturm bounds via $p$-adic transfer methods,William Craig,"Optimal Sturm bound for level-1 quasimodular forms, including the full mod-m statement on the integral lattice ~M_{2k}^Z.","Partially confirmed. The solver proved the complex-coefficient uniqueness statement from the first d Fourier coefficients, but not the sharper mod-m claim for the full integral lattice.","Category (b): close fixed-depth and depth-1 extremal/Sturm results exist, but not the exact full integral-lattice conjecture.",The complex half is clear; the mod-m half is under-specified unless one imports the paper's full integral lattice notation.,0.75,0.58,2026-03-09T02:50:24Z,http://arxiv.org/abs/2602.10240v1,https://arxiv.org/pdf/2602.10240v1
